ID,Treatment,Ala,Gly,Ser,Pro,Asp,Glu,Thr,Leu,Ile,Phe,Lys
PYA,PP,1.94,24.24,31.28,18.29,13.62,21.42,15.67,17.14,16.08,10.79,15.9
PYB,PP,3.03,27.73,38.37,22.51,17.01,22.42,24.27,18.32,13.53,10.56,15.46
PPA,PP,1.46,24.05,26.11,17.67,11.96,18.83,15.51,16.83,12.24,9.37,17.31
PPB,PP,1.68,25.2,32.09,18.87,13.2,21.31,20.51,17.44,13.82,10.29,14.86
SPA,SP,3.72,22.57,41.62,21.57,15.35,21.73,23.7,17.71,13.26,8.7,14.34
SPB,SP,3.63,20.81,35.32,22.9,16.75,23.49,28.83,19.41,15.35,11.52,16.4
SPC,SP,2.88,20.67,23.15,22.83,18.01,24.26,20.37,18.66,11.25,7.76,15.38
EPA,EP,1.78,15.48,25.52,15.19,8.98,14.06,11.43,9.8,5.32,2.25,7.1
EPB,EP,-0.92,12.62,30.08,12.85,9.82,15.08,24.12,9.31,7.65,4.91,10.41
EPC,EP,-3.22,12.54,14.87,13.36,8.92,13.54,20.28,8.98,9.58,3.23,7.48
EGA,EG,-9.69,0.06,12.13,-2.59,-3.78,-0.52,10.15,-5.23,-6.61,-4.72,-1.14
EGA4,EG,-8.08,2.12,21.77,-0.26,-2.94,-1.89,10.4,-4.59,-7.27,-4.72,-1
EGB,EG,-8.12,2.89,14.19,0.11,-2.27,-0.56,12.44,-3.5,-6.13,-4.3,0.53
EGC,EG,-11.56,-2.96,-0.61,-3.69,-0.99,1.17,13.59,-5.59,-7.7,-4.88,-0.4
PGA,PG,-8.63,2.38,8.74,-0.04,-0.59,0.08,5.43,-1.98,-6.68,-5.11,3.24
PGB,PG,-8.07,2.82,21.53,1.41,-1.44,-1.2,9.64,-1.71,-5.16,-5.63,0.84
PGC,PG,-8.2,1.26,13.3,1.47,0.3,0.08,6.74,-1.85,-5.69,-5.72,-1.78
EAA,EA,-14.48,5.48,4.39,2.93,-1.27,4.81,-1.28,-5.67,-6.15,-4.07,-2.65
EAB,EA,-13.96,7.26,5.87,3.25,-2.81,3.21,2.97,-6.86,-9.95,-2.59,-2.69
EAC,EA,-13.07,6.49,6.44,2.4,-2.42,1.99,3.32,-7.78,-7.19,-5.8,-2.87
PAA,PA,-16.48,5.66,9.2,-0.56,-8.14,-0.78,-6.31,-7.21,-4.07,-7.48,-3.28
PAB,PA,-12.02,8.16,10,-0.07,-1.58,2.78,-6.78,-5.98,-5.11,-6.15,-3.27
PAC,PA,-14.53,6.41,9.2,0.27,-1.94,1.4,-4.36,-5.74,-8.06,-6.77,-1.87
