Treatment,ID,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro,Asp,Glu,Phe,Lys
Ae,EC1,-4.08,5.67,-5.38,7.09,-12.41,-11.94,-11.58,-6.76,-3.52,-0.3,-10.65,-8.13
An,EC2,-4.81,11.25,-13.62,0.76,-11.99,-16.59,-15.23,-10.46,-7.38,-7.8,-19.42,-10.65
Ot,EC3,-29.8,-16.42,-30.57,-18.02,-34.61,-32.34,-32.39,-25.19,-27.35,-21.25,-34.45,-24.11
Ae,SO1,-21.96,-11.73,-24.5,-11.1,-30.89,-30.69,-28.07,-26.12,-22.75,-21.59,-30.48,-24.42
Ae,SO2,-24.13,-17.39,-25.64,-10.73,-34.95,-30.25,-28.68,-24.01,-25.98,-23.18,-30.75,-26.65
An,SO3,-23.36,-15.21,-27.33,-10.36,-32.85,-34.94,-28.96,-33.07,-25.8,-31.78,-30.02,-28.73
An,SO4,-24.55,-19.15,-27.85,-4.5,-33.52,-35.88,-28.34,-28.15,-26.72,-29.89,-31.65,-27.47
Ot,Desulfo,-20,-6.28,-15.33,-21.82,-26.53,-29.86,-25.52,-27.94,-17.06,-25.28,-24.77,-20.68
Mt,MP,-53.18,-41.66,-53.7,-57.64,-58.63,-59.12,-60.08,-55.73,-48.08,-54.84,-59.02,-51.3
Mt,MLB,-42.38,-30.25,-44.4,-51.51,-47.96,-48.07,-48.02,-42.02,-40.63,-39.95,-51.15,-37.64
Mt,MLB2,-43.37,-35.69,-38.77,-55.11,-51.74,-45.86,-43.38,-41.36,-39.57,-40.37,-47.16,-38.39
Mg,MS,-29.04,-23.39,-21.77,-30,-37.43,-33.59,-34.92,-28.02,-22.4,-29.78,-29.84,-29.56
Mg,MNB,-12.82,-2.06,-9.6,-4.57,-27.57,-29.55,-27.85,-8.11,-7.79,-4.34,-20.59,-12.36
At,Desulfo2,-25.25,-17.27,-24.11,-18.88,-29.19,-29.42,-28.22,-23.91,-23.5,-25.7,-27.64,-23.25
Ag,Moo,-28.36,-32.78,-25.7,-33.24,-29.43,-27.32,-22.71,-24.41,-28.1,-28.68,-28.93,
Ot,TC,-1.09,-2.46,-12.3,-23.23,-26.88,-26.37,-28.53,-16.18,-15.38,-11.04,-24.54,-21.36
Ot,PC,-8.34,-2.41,-7.76,-19.67,-24.79,-25.87,-21.46,-13.62,-11.85,-9.69,-23.44,-18.41
Ot,TC,-14.31,-6.04,-13.38,-19.51,-22.54,-26.89,-23.73,-18.71,-16.82,-21.67,-27.57,-20.16
Ot,Sulfolo,-15.69,-9.95,-15.34,-26.26,-30.09,-31.7,-25.54,-21.35,-22.64,-21.52,-27.79,-23.53
Ct,AQ,-23.27,-12.92,-36.42,-26.74,-38.01,-30.83,-32.25,-29.03,-25.89,-27.98,-30.31,-28.81
Ct,NS,-52.72,-25.75,-63.19,-61.58,-69.72,-70.47,-64.44,-64.31,-54.18,-60.93,-73.53,
Fe,CB,-18.23,-7.28,-15.99,-11.21,-29.77,-30.78,-28.29,-20.47,-18.49,-20.03,-26.76,
Fe,CA,-13.33,-11.16,-17.75,-9.16,-30.48,-32.37,-29.92,-21.37,-16.76,-19.51,-29.56,-23.83
